Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total
FD3537,11.09,Low Sugar,0.021,Fruits and Vegetables,120.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2562.86
FD6680,10.94,Low Sugar,0.138,Dairy,121.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2532.68
FD1810,13.86,Low Sugar,0.168,Snack Foods,181.28,OUT003,1999,Medium,Tier 1,Departmental Store,4426.73
FD4925,10.55,Low Sugar,0.15,Frozen Foods,132.82,OUT004,2009,Medium,Tier 2,Supermarket Type2,2688.24
FD636,11.44,Regular,0.027,Baking Goods,144.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3120.85
FD6554,13.17,Regular,0.047,Dairy,119.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3004.24
FD4235,14.88,Regular,0.099,Canned,146.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3951.97
FD5621,15.14,Low Sugar,0.052,Snack Foods,148.06,OUT001,1987,High,Tier 2,Supermarket Type1,4037.27
NC6961,13.99,No Sugar,0.076,Household,71.99,OUT002,1998,Small,Tier 3,Food Mart,2220.7
FD3834,8.57,Low Sugar,0.112,Meat,111.78,OUT002,1998,Small,Tier 3,Food Mart,1808.35
FD3342,13.29,Regular,0.126,Baking Goods,109.69,OUT004,2009,Medium,Tier 2,Supermarket Type2,2832.54
FD5895,13.49,Low Sugar,0.049,Fruits and Vegetables,152.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3751.07
FD32,15.92,Low Sugar,0.045,Canned,191.88,OUT003,1999,Medium,Tier 1,Departmental Store,5527.72
FD3673,12.16,Low Sugar,0.022,Fruits and Vegetables,171.91,OUT004,2009,Medium,Tier 2,Supermarket Type2,3849.96
DR1777,14.52,Low Sugar,0.054,Soft Drinks,184.39,OUT001,1987,High,Tier 2,Supermarket Type1,4638.79
FD5910,12.39,Regular,0.14,Breakfast,137.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3204.52
FD5844,14.61,Low Sugar,0.016,Dairy,141.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3792.19
FD2698,14.21,Low Sugar,0.025,Snack Foods,175.34,OUT003,1999,Medium,Tier 1,Departmental Store,4384.94
DR2126,7.82,reg,0.036,Hard Drinks,102.18,OUT002,1998,Small,Tier 3,Food Mart,1443.06
FD5045,12.28,Low Sugar,0.011,Snack Foods,127.58,OUT004,2009,Medium,Tier 2,Supermarket Type2,2971.03
FD6350,12,Low Sugar,0.097,Snack Foods,157.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3524.53
FD5701,7.03,Regular,0.088,Canned,129.3,OUT002,1998,Small,Tier 3,Food Mart,1820.35
FD478,13.39,Low Sugar,0.117,Dairy,151.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,2135.61
FD8257,12.59,Low Sugar,0.031,Snack Foods,184.38,OUT003,1999,Medium,Tier 1,Departmental Store,4203.86
FD4414,12.45,Low Sugar,0.123,Meat,181.21,OUT001,1987,High,Tier 2,Supermarket Type1,4105.78
FD5724,15.03,Low Sugar,0.067,Canned,115.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3344.04
FD1111,14.91,Low Sugar,0.1,Meat,166.86,OUT003,1999,Medium,Tier 1,Departmental Store,4368.82
FD1874,13.91,Low Sugar,0.154,Meat,172.36,OUT003,1999,Medium,Tier 1,Departmental Store,4255.98
FD8319,14.2,Low Sugar,0.033,Fruits and Vegetables,135.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3561.93
DR1690,11.81,Low Sugar,0.1,Soft Drinks,180.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,3950.16
FD7210,11.18,Low Sugar,0.036,Baking Goods,124.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2668.03
FD3784,7.03,Low Sugar,0.172,Snack Foods,99.01,OUT002,1998,Small,Tier 3,Food Mart,1200.1
FD8692,12.81,Low Sugar,0.025,Snack Foods,143.16,OUT004,2009,Medium,Tier 2,Supermarket Type2,3410.04
FD6194,10.94,Low Sugar,0.051,Frozen Foods,133.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2792.7
FD7301,13.87,Low Sugar,0.099,Snack Foods,116.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3097.16
NC7084,12.46,No Sugar,0.053,Others,155.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3575.15
NC2661,12.11,No Sugar,0.079,Health and Hygiene,132.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3037.57
FD8358,14.83,Regular,0.148,Baking Goods,181.27,OUT001,1987,High,Tier 2,Supermarket Type1,4645.4
DR7979,16.14,Low Sugar,0.112,Soft Drinks,198.44,OUT003,1999,Medium,Tier 1,Departmental Store,5293.66
FD6813,12.03,Regular,0.129,Snack Foods,100.64,OUT001,1987,High,Tier 2,Supermarket Type1,2362.36
FD7428,12.95,Regular,0.023,Meat,138.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3339.26
FD3324,14.57,Low Sugar,0.054,Snack Foods,143.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,3818.92
FD576,11.17,Low Sugar,0.016,Meat,137.87,OUT004,2009,Medium,Tier 2,Supermarket Type2,4447.91
FD5131,12.95,Regular,0.076,Meat,155.55,OUT004,2009,Medium,Tier 2,Supermarket Type2,3695.51
FD4739,14.44,Regular,0.027,Meat,184.72,OUT001,1987,High,Tier 2,Supermarket Type1,4629.45
FD6685,14.34,Regular,0.021,Baking Goods,168.19,OUT003,1999,Medium,Tier 1,Departmental Store,4268.48
FD5982,16.76,Low Sugar,0.081,Starchy Foods,169.25,OUT003,1999,Medium,Tier 1,Departmental Store,4836.45
FD3384,12.76,Low Sugar,0.03,Fruits and Vegetables,146.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3470.1
DR7064,11.73,Regular,0.048,Soft Drinks,122.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2737.89
FD7133,14,Regular,0.042,Breakfast,165.12,OUT001,1987,High,Tier 2,Supermarket Type1,4128.66
NC4781,11.73,No Sugar,0.066,Household,137.3,OUT004,2009,Medium,Tier 2,Supermarket Type2,3044.77
DR4728,7.66,Low Sugar,0.068,Hard Drinks,74.61,OUT002,1998,Small,Tier 3,Food Mart,842.74
FD4162,9.68,Regular,0.013,Canned,71.53,OUT002,1998,Small,Tier 3,Food Mart,1236.54
FD4166,16.72,Regular,0.128,Canned,160.17,OUT001,1987,High,Tier 2,Supermarket Type1,4642.35
FD5730,16.65,Low Sugar,0.026,Fruits and Vegetables,188.74,OUT003,1999,Medium,Tier 1,Departmental Store,5210.72
FD2382,14.8,Low Sugar,0.055,Snack Foods,130.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,3597.04
FD8442,13.28,Regular,0.115,Meat,184.11,OUT003,1999,Medium,Tier 1,Departmental Store,4354.46
FD250,13.4,Low Sugar,0.047,Frozen Foods,178.15,OUT001,1987,High,Tier 2,Supermarket Type1,3020.84
FD7449,10.29,Low Sugar,0.121,Fruits and Vegetables,152.06,OUT004,2009,Medium,Tier 2,Supermarket Type2,3023.14
DR8079,11.29,Low Sugar,0.021,Hard Drinks,155.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3325.42
FD7272,15.59,Regular,0.05,Fruits and Vegetables,180.74,OUT001,1987,High,Tier 2,Supermarket Type1,4806.88
FD3469,11.18,Regular,0.046,Starchy Foods,102.45,OUT002,1998,Small,Tier 3,Food Mart,2207.51
FD5746,11.59,reg,0.091,Dairy,145.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3188.61
FD1829,14.62,Low Sugar,0.038,Dairy,231.55,OUT003,1999,Medium,Tier 1,Departmental Store,5627.68
FD8260,11.48,Low Sugar,0.07,Snack Foods,90.06,OUT002,1998,Small,Tier 3,Food Mart,2022.24
FD5863,12.49,Regular,0.077,Fruits and Vegetables,138.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3243.32
FD6792,10.57,Regular,0.121,Dairy,134.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,2726.88
FD8029,13.49,Low Sugar,0.178,Fruits and Vegetables,184.74,OUT003,1999,Medium,Tier 1,Departmental Store,4414.76
NC1944,7.14,No Sugar,0.034,Health and Hygiene,82.6,OUT002,1998,Small,Tier 3,Food Mart,889.12
FD31,11.38,Low Sugar,0.073,Meat,158.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2274.43
FD4457,9.62,Low Sugar,0.103,Meat,134.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,2508.69
FD8321,11.69,Low Sugar,0.011,Canned,135.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,2998.93
FD1040,15.24,Low Sugar,0.059,Baking Goods,141,OUT004,2009,Medium,Tier 2,Supermarket Type2,3913.45
FD4295,15.21,Low Sugar,0.157,Dairy,162.53,OUT003,1999,Medium,Tier 1,Departmental Store,4349.32
FD3355,9.63,Regular,0.162,Dairy,108.43,OUT002,1998,Small,Tier 3,Food Mart,1980.59
FD3181,12.26,Low Sugar,0.14,Snack Foods,138.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,3185.13
DR3716,11.3,Low Sugar,0.033,Soft Drinks,163.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3491.22
NC6251,11.69,No Sugar,0.035,Others,183.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3985.57
FD4554,13.23,Regular,0.057,Baking Goods,124.67,OUT004,2009,Medium,Tier 2,Supermarket Type2,3126.74
FD2262,12.98,Low Sugar,0.021,Meat,124.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3073.1
FD669,12.71,Low Sugar,0.029,Canned,145.61,OUT004,2009,Medium,Tier 2,Supermarket Type2,3438.07
FD3532,9.73,Regular,0.031,Canned,175.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3381.51
FD2888,13.06,Regular,0.191,Snack Foods,151.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3646.25
FD2216,6.99,Regular,0.023,Fruits and Vegetables,90.88,OUT002,1998,Small,Tier 3,Food Mart,1025.01
FD1404,15.14,Regular,0.088,Snack Foods,182.81,OUT001,1987,High,Tier 2,Supermarket Type1,4747.34
FD5333,10.48,Low Sugar,0.073,Meat,92.63,OUT002,1998,Small,Tier 3,Food Mart,1849.5
FD320,13.34,Low Sugar,0.093,Meat,124.78,OUT003,1999,Medium,Tier 1,Departmental Store,5703.97
FD7573,9.77,Low Sugar,0.035,Canned,154.41,OUT004,2009,Medium,Tier 2,Supermarket Type2,2952.72
FD7436,11.44,Low Sugar,0.038,Fruits and Vegetables,174.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3745.45
NC2187,11.61,No Sugar,0.035,Health and Hygiene,96.42,OUT002,1998,Small,Tier 3,Food Mart,2181.04
FD432,9.16,Low Sugar,0.142,Frozen Foods,117.08,OUT001,1987,High,Tier 2,Supermarket Type1,4364.15
DR260,14.3,Regular,0.085,Hard Drinks,120.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2126.69
FD2317,12.85,Low Sugar,0.022,Fruits and Vegetables,158.13,OUT004,2009,Medium,Tier 2,Supermarket Type2,3724.09
FD3884,11.72,reg,0.102,Baking Goods,143.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3175.51
FD2428,9.14,Regular,0.036,Baking Goods,159.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,2907.97
FD7176,11.39,Low Sugar,0.026,Canned,118.84,OUT004,2009,Medium,Tier 2,Supermarket Type2,2591.42
FD4060,12.17,Low Sugar,0.059,Meat,177.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3973.77
FD3916,10.04,Low Sugar,0.168,Snack Foods,111.63,OUT002,1998,Small,Tier 3,Food Mart,2139.18
FD3509,13.68,Low Sugar,0.042,Frozen Foods,129.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3322.1
FD2142,11.96,Regular,0.21,Snack Foods,189.37,OUT001,1987,High,Tier 2,Supermarket Type1,4163.44
NC4605,17.45,No Sugar,0.097,Others,195.34,OUT003,1999,Medium,Tier 1,Departmental Store,5525.34
FD2452,12.34,Low Sugar,0.016,Dairy,75.29,OUT002,1998,Small,Tier 3,Food Mart,1913.64
FD4412,13.35,Low Sugar,0.034,Baking Goods,138.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3445.02
FD4499,15.29,Low Sugar,0.143,Baking Goods,143.19,OUT004,2009,Medium,Tier 2,Supermarket Type2,3971.12
FD197,12.6,Low Sugar,0.025,Snack Foods,157.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,3288.06
FD451,14.42,Regular,0.036,Dairy,162.86,OUT002,1998,Small,Tier 3,Food Mart,913.54
FD2259,11.76,Low Sugar,0.053,Fruits and Vegetables,136.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3032.46
FD7154,16.75,Low Sugar,0.027,Breakfast,211.71,OUT003,1999,Medium,Tier 1,Departmental Store,5702.22
FD2831,12.83,Low Sugar,0.095,Canned,159.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3753.24
FD1368,16.29,reg,0.184,Frozen Foods,217.94,OUT003,1999,Medium,Tier 1,Departmental Store,5726.19
FD784,14.52,Low Sugar,0.061,Fruits and Vegetables,130.67,OUT004,2009,Medium,Tier 2,Supermarket Type2,3541.1
FD3983,11.97,Low Sugar,0.022,Fruits and Vegetables,111.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2578.16
FD2780,7.53,Low Sugar,0.188,Frozen Foods,77.56,OUT002,1998,Small,Tier 3,Food Mart,874.72
FD6095,9.61,Regular,0.118,Snack Foods,154.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2921.65
DR848,12,Low Sugar,0.058,Soft Drinks,110.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2551.99
FD3131,11.98,Regular,0.027,Fruits and Vegetables,156.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3490.6
FD1478,12.88,Regular,0.01,Fruits and Vegetables,181.93,OUT003,1999,Medium,Tier 1,Departmental Store,4217.82
DR4603,11.94,Low Sugar,0.067,Soft Drinks,175.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3883.52
FD8450,14.08,reg,0.074,Breads,127.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3375.71
FD5334,8.56,Low Sugar,0.035,Fruits and Vegetables,76.33,OUT002,1998,Small,Tier 3,Food Mart,1082.17
NC6437,13.01,No Sugar,0.054,Household,144.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3482.54
NC6701,12.39,No Sugar,0.021,Household,118.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,2810.58
NC5677,10.78,No Sugar,0.018,Health and Hygiene,138.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2857.3
DR139,9.5,Regular,0.035,Hard Drinks,181.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3604.83
FD3478,12.98,Low Sugar,0.142,Fruits and Vegetables,178.51,OUT001,1987,High,Tier 2,Supermarket Type1,4172
NC6233,15.98,No Sugar,0.042,Household,195.42,OUT003,1999,Medium,Tier 1,Departmental Store,5194.84
FD5710,11.99,Low Sugar,0.049,Breads,121.01,OUT004,2009,Medium,Tier 2,Supermarket Type2,2770.65
FD6624,9.37,Low Sugar,0.111,Dairy,135.92,OUT001,1987,High,Tier 2,Supermarket Type1,2484.71
FD5615,13.46,Low Sugar,0.065,Fruits and Vegetables,162.02,OUT004,2009,Medium,Tier 2,Supermarket Type2,3942.04
FD7466,12.92,Low Sugar,0.083,Meat,180.95,OUT003,1999,Medium,Tier 1,Departmental Store,4207.7
FD8494,9.96,Low Sugar,0.029,Snack Foods,147.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,2864.34
FD8551,10.62,Low Sugar,0.036,Snack Foods,195.34,OUT004,2009,Medium,Tier 2,Supermarket Type2,3982
FD2781,7.27,Low Sugar,0.011,Snack Foods,104.5,OUT002,1998,Small,Tier 3,Food Mart,1366.11
FD5463,12.51,Low Sugar,0.049,Snack Foods,158.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3654.12
FD241,13.23,Low Sugar,0.072,Baking Goods,131.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2986.38
FD6117,14.56,Low Sugar,0.039,Baking Goods,156.96,OUT001,1987,High,Tier 2,Supermarket Type1,4087.94
FD1794,8.98,Low Sugar,0.038,Canned,101.43,OUT002,1998,Small,Tier 3,Food Mart,1690.64
FD4523,17.24,Low Sugar,0.067,Frozen Foods,188.7,OUT003,1999,Medium,Tier 1,Departmental Store,5341.76
DR6476,16.06,Low Sugar,0.106,Hard Drinks,169.48,OUT001,1987,High,Tier 2,Supermarket Type1,4682.36
FD1284,14.1,Low Sugar,0.056,Starchy Foods,161.7,OUT001,1987,High,Tier 2,Supermarket Type1,4080.52
NC1897,9.67,No Sugar,0.113,Health and Hygiene,95.77,OUT002,1998,Small,Tier 3,Food Mart,1729.42
FD175,14.91,Regular,0.014,Meat,202.3,OUT003,1999,Medium,Tier 1,Departmental Store,5027.1
FD7273,17.02,Regular,0.076,Fruits and Vegetables,224.36,OUT003,1999,Medium,Tier 1,Departmental Store,6023.21
FD2371,7.72,Low Sugar,0.07,Fruits and Vegetables,123.45,OUT002,1998,Small,Tier 3,Food Mart,1856.55
FD2889,12.73,Low Sugar,0.042,Fruits and Vegetables,143.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3402.45
FD7218,10.7,Low Sugar,0.041,Seafood,86.35,OUT002,1998,Small,Tier 3,Food Mart,1769.62
FD3750,9.37,Low Sugar,0.027,Fruits and Vegetables,133.89,OUT001,1987,High,Tier 2,Supermarket Type1,2441.86
DR2923,12.97,Low Sugar,0.147,Soft Drinks,133.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3257.26
FD682,11.09,Regular,0.067,Fruits and Vegetables,129.2,OUT004,2009,Medium,Tier 2,Supermarket Type2,2734.63
FD5973,11.31,Low Sugar,0.037,Dairy,159.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,3404.02
FD3896,9.96,Low Sugar,0.047,Frozen Foods,136.53,OUT004,2009,Medium,Tier 2,Supermarket Type2,2630.07
FD3058,12.15,Low Sugar,0.081,Starchy Foods,78.82,OUT002,1998,Small,Tier 3,Food Mart,1943.02
FD8707,11,Low Sugar,0.173,Canned,126.72,OUT004,2009,Medium,Tier 2,Supermarket Type2,2664.63
FD8012,11.04,Regular,0.024,Fruits and Vegetables,134.17,OUT004,2009,Medium,Tier 2,Supermarket Type2,2826.38
FD894,14.86,Low Sugar,0.009,Dairy,175.22,OUT001,1987,High,Tier 2,Supermarket Type1,4529.36
FD7695,16.67,Low Sugar,0.017,Dairy,208.21,OUT003,1999,Medium,Tier 1,Departmental Store,5612.4
FD6461,11.61,Low Sugar,0.127,Snack Foods,113.3,OUT004,2009,Medium,Tier 2,Supermarket Type2,2527.98
FD2359,12.26,Low Sugar,0.122,Fruits and Vegetables,196.93,OUT003,1999,Medium,Tier 1,Departmental Store,4385.08
FD7090,10.6,Low Sugar,0.12,Starchy Foods,120.41,OUT001,1987,High,Tier 2,Supermarket Type1,2445.43
FD1031,12.13,Regular,0.039,Baking Goods,107.33,OUT004,2009,Medium,Tier 2,Supermarket Type2,2521.74
FD4909,14.58,Regular,0.011,Baking Goods,144.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3843.45
FD2146,13.19,Low Sugar,0.042,Baking Goods,130.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3242.51
FD1735,13.11,Low Sugar,0.035,Dairy,152.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3676.04
FD3649,13.26,Low Sugar,0.037,Dairy,147.89,OUT004,2009,Medium,Tier 2,Supermarket Type2,3607.36
FD6692,11.43,Regular,0.053,Breads,161.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,3471.26
FD1513,13.98,Low Sugar,0.067,Snack Foods,138.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3572.68
FD7203,17.23,Low Sugar,0.057,Baking Goods,175.07,OUT003,1999,Medium,Tier 1,Departmental Store,5062.16
NC4183,14.31,No Sugar,0.033,Health and Hygiene,151.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3928.7
NC2851,11.14,No Sugar,0.099,Household,147.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3117.58
NC7303,12.7,No Sugar,0.007,Health and Hygiene,180.41,OUT001,1987,High,Tier 2,Supermarket Type1,4147.38
NC6619,14.34,No Sugar,0.047,Household,199.55,OUT001,1987,High,Tier 2,Supermarket Type1,4909.67
FD5528,12.62,Low Sugar,0.073,Snack Foods,136.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3223.03
FD7378,15.78,Regular,0.12,Dairy,143.1,OUT001,1987,High,Tier 2,Supermarket Type1,4080.75
FD3560,11.15,Low Sugar,0.116,Fruits and Vegetables,140.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,2985.32
NC2141,15.95,No Sugar,0.139,Household,135.72,OUT004,2009,Medium,Tier 2,Supermarket Type2,3967.29
FD1212,12.04,Low Sugar,0.026,Meat,137.59,OUT004,2009,Medium,Tier 2,Supermarket Type2,3121.33
FD752,15.96,Low Sugar,0.027,Seafood,213.29,OUT003,1999,Medium,Tier 1,Departmental Store,5556.26
FD4678,16.03,Low Sugar,0.086,Dairy,183.59,OUT003,1999,Medium,Tier 1,Departmental Store,4965.31
FD5095,15.5,Regular,0.143,Snack Foods,163.11,OUT003,1999,Medium,Tier 1,Departmental Store,4426.14
FD5743,11.27,Regular,0.061,Frozen Foods,124.65,OUT004,2009,Medium,Tier 2,Supermarket Type2,2682.62
FD7738,14.24,Low Sugar,0.021,Frozen Foods,184.56,OUT001,1987,High,Tier 2,Supermarket Type1,4580.86
FD6508,12.49,Low Sugar,0.061,Fruits and Vegetables,119.85,OUT004,2009,Medium,Tier 2,Supermarket Type2,2860.57
FD5415,13.36,Low Sugar,0.026,Snack Foods,173.03,OUT001,1987,High,Tier 2,Supermarket Type1,4144.15
FD7534,13.17,Low Sugar,0.076,Frozen Foods,151.4,OUT004,2009,Medium,Tier 2,Supermarket Type2,3659.4
FD8341,10.74,Regular,0.022,Snack Foods,135.31,OUT004,2009,Medium,Tier 2,Supermarket Type2,2780.41
FD6023,9.65,Low Sugar,0.06,Dairy,109.18,OUT002,1998,Small,Tier 3,Food Mart,2001.26
FD2443,13.71,Low Sugar,0.026,Snack Foods,119.95,OUT004,2009,Medium,Tier 2,Supermarket Type2,3137.79
FD179,12.32,Low Sugar,0.024,Canned,128.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,4492.96
NC869,13.25,No Sugar,0.154,Household,179.2,OUT003,1999,Medium,Tier 1,Departmental Store,4245.37
FD193,10.68,Low Sugar,0.033,Snack Foods,72.37,OUT001,1987,High,Tier 2,Supermarket Type1,4790.98
DR7730,18.26,Low Sugar,0.031,Soft Drinks,174.31,OUT003,1999,Medium,Tier 1,Departmental Store,5279.53
FD870,16.74,Low Sugar,0.1,Snack Foods,203.67,OUT003,1999,Medium,Tier 1,Departmental Store,5535.46
DR4890,13.64,reg,0.04,Soft Drinks,158.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3911.69
FD3788,17.24,Low Sugar,0.034,Dairy,205.11,OUT003,1999,Medium,Tier 1,Departmental Store,5678.44
FD2647,11.52,Low Sugar,0.046,Snack Foods,145.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3170.06
NC5342,12.06,No Sugar,0.043,Household,123.58,OUT004,2009,Medium,Tier 2,Supermarket Type2,2840.17
FD6647,19.22,Low Sugar,0.033,Snack Foods,212.36,OUT003,1999,Medium,Tier 1,Departmental Store,6275.29
DR1382,14.02,Low Sugar,0.09,Soft Drinks,118.48,OUT004,2009,Medium,Tier 2,Supermarket Type2,3177.22
FD4479,9.59,Regular,0.028,Breakfast,180.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3449.91
FD1657,14.74,Low Sugar,0.098,Baking Goods,131.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3599.97
FD2997,9.08,Low Sugar,0.085,Baking Goods,150.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,2723.52
NC774,11.05,No Sugar,0.128,Health and Hygiene,120.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,2553.48
