booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status
INNHG_128188,18,Online,3,187.0,3,1,2022-07-01,0,2,Not Canceled
INNHG_128189,152,Online,1,80.75,2,2,2022-07-01,0,2,Not Canceled
INNHG_128190,148,Online,2,98.39,2,2,2022-07-01,0,6,Not Canceled
INNHG_128191,75,Online,0,131.4,2,1,2022-07-01,0,2,Canceled
INNHG_128192,154,Online,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128193,114,Online,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128194,114,Online,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128195,36,Online,0,150.3,3,2,2022-07-01,0,3,Canceled
INNHG_128196,44,Online,0,150.3,3,0,2022-07-01,0,2,Canceled
INNHG_128197,44,Online,0,150.3,3,0,2022-07-01,0,2,Canceled
INNHG_128198,179,Online,1,96.3,2,0,2022-07-01,0,1,Canceled
INNHG_128199,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128200,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128201,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128202,113,Online,0,138.55,3,2,2022-07-01,0,6,Canceled
INNHG_128203,162,Online,0,105.3,2,1,2022-07-01,0,2,Canceled
INNHG_128204,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128205,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128206,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128207,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128208,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128209,37,Online,0,131.4,2,0,2022-07-01,0,1,Canceled
INNHG_128210,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128211,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128212,127,Online,0,127.62,3,2,2022-07-01,0,5,Canceled
INNHG_128213,43,Online,0,117.9,2,0,2022-07-01,0,2,Canceled
INNHG_128214,158,Online,1,168.3,2,1,2022-07-01,0,2,Canceled
INNHG_128215,142,Online,0,85.5,2,0,2022-07-01,0,2,Canceled
INNHG_128216,154,Online,2,112.5,2,1,2022-07-01,0,2,Canceled
INNHG_128217,162,Online,0,96.3,2,1,2022-07-01,0,2,Canceled
INNHG_128218,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128219,180,Online,0,105.3,2,0,2022-07-01,0,2,Canceled
INNHG_128220,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128221,144,Offline,0,75.0,2,1,2022-07-01,0,2,Canceled
INNHG_128222,142,Online,0,85.5,2,0,2022-07-01,0,2,Canceled
INNHG_128223,80,Online,0,98.41,2,0,2022-07-01,0,1,Canceled
INNHG_128224,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128225,142,Online,0,85.5,2,0,2022-07-01,0,2,Canceled
INNHG_128226,140,Online,0,96.3,2,0,2022-07-01,0,2,Canceled
INNHG_128227,179,Online,1,96.3,2,0,2022-07-01,0,1,Canceled
INNHG_128228,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128229,14,Online,0,151.0,2,0,2022-07-01,0,1,Canceled
INNHG_128230,44,Online,0,150.3,3,0,2022-07-01,0,2,Canceled
INNHG_128231,22,Online,0,168.3,3,1,2022-07-01,0,2,Canceled
INNHG_128232,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128233,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128234,151,Online,2,167.45,2,2,2022-07-01,0,7,Canceled
INNHG_128235,20,Online,1,169.0,2,0,2022-07-01,0,1,Canceled
INNHG_128236,114,Offline,0,75.0,1,1,2022-07-01,0,2,Canceled
INNHG_128237,49,Online,0,107.1,2,0,2022-07-01,0,2,Canceled
INNHG_128238,47,Online,2,150.3,3,1,2022-07-02,0,1,Not Canceled
INNHG_128239,143,Offline,1,112.0,2,2,2022-07-02,0,1,Not Canceled
INNHG_128240,3,Online,2,0.0,2,0,2022-07-02,0,1,Not Canceled
INNHG_128241,75,Online,2,150.3,3,1,2022-07-02,0,1,Not Canceled
INNHG_128242,28,Online,1,130.66,2,2,2022-07-02,0,3,Not Canceled
INNHG_128243,140,Online,1,88.77,2,1,2022-07-02,0,1,Not Canceled
INNHG_128244,156,Online,2,96.3,2,2,2022-07-02,0,1,Not Canceled
INNHG_128245,104,Online,1,88.01,2,2,2022-07-02,0,1,Not Canceled
INNHG_128246,85,Online,2,114.3,2,1,2022-07-02,0,1,Not Canceled
INNHG_128247,111,Online,0,146.7,3,0,2022-07-02,0,1,Not Canceled
INNHG_128248,168,Online,1,62.18,2,2,2022-07-02,0,5,Not Canceled
INNHG_128249,131,Online,1,121.5,2,2,2022-07-02,1,1,Not Canceled
INNHG_128250,0,Online,1,151.0,2,2,2022-07-02,0,2,Not Canceled
INNHG_128251,98,Online,2,130.5,2,2,2022-07-02,0,5,Not Canceled
INNHG_128252,1,Online,0,166.0,2,1,2022-07-02,0,1,Not Canceled
INNHG_128253,209,Online,1,66.53,2,2,2022-07-02,0,4,Not Canceled
INNHG_128254,128,Online,1,96.3,2,2,2022-07-02,0,1,Not Canceled
INNHG_128255,24,Online,1,118.15,2,0,2022-07-02,0,1,Not Canceled
INNHG_128256,93,Online,0,84.0,2,2,2022-07-02,0,4,Not Canceled
INNHG_128257,38,Online,1,107.1,2,0,2022-07-02,0,1,Not Canceled
INNHG_128258,37,Online,1,146.7,2,2,2022-07-02,0,2,Not Canceled
INNHG_128259,41,Online,1,150.3,3,2,2022-07-02,0,2,Not Canceled
INNHG_128260,209,Online,1,72.75,2,2,2022-07-02,0,4,Not Canceled
INNHG_128261,82,Online,2,185.03,3,0,2022-07-02,0,1,Not Canceled
INNHG_128262,179,Online,2,96.3,2,2,2022-07-02,0,1,Not Canceled
INNHG_128263,158,Online,1,82.88,2,2,2022-07-02,0,2,Not Canceled
INNHG_128264,54,Online,1,107.1,2,0,2022-07-02,0,1,Not Canceled
INNHG_128265,28,Online,1,130.66,2,2,2022-07-02,0,3,Not Canceled
INNHG_128266,36,Online,2,152.1,2,2,2022-07-02,0,1,Not Canceled
INNHG_128267,15,Online,1,151.0,2,2,2022-07-02,0,1,Not Canceled
INNHG_128268,62,Online,2,150.3,3,2,2022-07-02,0,2,Not Canceled
INNHG_128269,14,Online,2,151.0,2,2,2022-07-02,0,3,Not Canceled
INNHG_128270,6,Online,2,180.0,3,2,2022-07-02,0,2,Not Canceled
INNHG_128271,140,Online,3,128.7,3,1,2022-07-02,0,1,Not Canceled
INNHG_128272,125,Online,2,90.67,2,2,2022-07-02,0,4,Not Canceled
INNHG_128273,104,Online,2,88.01,2,2,2022-07-02,0,1,Not Canceled
INNHG_128274,104,Online,2,88.01,2,2,2022-07-02,0,1,Not Canceled
INNHG_128275,143,Offline,1,112.0,2,2,2022-07-02,0,1,Not Canceled
INNHG_128276,134,Online,2,93.08,2,2,2022-07-02,0,2,Not Canceled
INNHG_128277,137,Online,1,88.77,2,1,2022-07-02,0,1,Not Canceled
INNHG_128278,138,Online,1,71.67,2,2,2022-07-02,0,2,Not Canceled
INNHG_128279,47,Online,2,114.48,3,2,2022-07-02,0,2,Not Canceled
INNHG_128280,3,Online,1,0.0,2,0,2022-07-02,0,1,Not Canceled
INNHG_128281,25,Online,0,187.0,3,1,2022-07-02,0,1,Canceled
INNHG_128282,54,Online,0,119.7,2,2,2022-07-02,0,5,Canceled
INNHG_128283,76,Online,0,131.4,2,0,2022-07-02,0,1,Canceled
INNHG_128284,47,Online,1,150.3,3,1,2022-07-02,0,1,Canceled
INNHG_128285,139,Online,0,85.5,2,0,2022-07-02,0,1,Canceled
INNHG_128286,105,Online,0,138.55,1,2,2022-07-02,0,2,Canceled
INNHG_128287,139,Online,0,85.5,2,0,2022-07-02,0,1,Canceled
INNHG_128288,26,Online,0,187.0,3,2,2022-07-02,0,1,Canceled
INNHG_128289,132,Online,2,114.75,2,2,2022-07-02,0,5,Canceled
INNHG_128290,69,Online,0,150.3,3,0,2022-07-02,0,1,Canceled
INNHG_128291,139,Online,0,85.5,2,0,2022-07-02,0,1,Canceled
INNHG_128292,8,Online,1,151.0,2,0,2022-07-02,0,1,Canceled
INNHG_128293,45,Online,1,124.6,2,2,2022-07-02,0,1,Canceled
INNHG_128294,136,Online,0,93.08,2,2,2022-07-02,0,2,Canceled
INNHG_128295,26,Online,1,151.0,2,1,2022-07-02,0,1,Canceled
INNHG_128296,156,Online,1,93.08,2,2,2022-07-02,0,2,Canceled
INNHG_128297,39,Online,0,117.9,2,2,2022-07-02,0,2,Canceled
INNHG_128298,48,Online,0,157.5,3,2,2022-07-02,0,3,Canceled
INNHG_128299,6,Online,0,132.0,2,1,2022-07-02,0,1,Canceled
INNHG_128300,38,Online,0,107.1,1,1,2022-07-02,0,1,Canceled
INNHG_128301,39,Online,0,117.9,2,2,2022-07-02,0,1,Canceled
INNHG_128302,160,Online,0,125.8,3,2,2022-07-02,0,4,Canceled
INNHG_128303,136,Online,0,93.08,2,2,2022-07-02,0,2,Canceled
INNHG_128304,76,Online,0,131.4,2,0,2022-07-02,0,1,Canceled
INNHG_128305,54,Online,0,146.7,2,2,2022-07-02,0,5,Canceled
INNHG_128306,39,Online,0,117.9,2,2,2022-07-02,0,1,Canceled
INNHG_128307,232,Online,1,131.4,2,1,2022-07-02,0,1,Canceled
INNHG_128308,11,Online,1,151.0,2,2,2022-07-02,0,2,Canceled
INNHG_128309,123,Online,0,97.33,2,2,2022-07-02,0,2,Canceled
INNHG_128310,142,Online,1,126.65,3,2,2022-07-02,0,3,Canceled
INNHG_128311,19,Online,1,139.0,2,2,2022-07-02,0,2,Canceled
INNHG_128312,221,Online,0,187.0,2,2,2022-07-02,0,2,Canceled
INNHG_128313,73,Online,0,145.93,3,4,2022-07-02,0,10,Canceled
INNHG_128314,54,Online,0,161.1,2,1,2022-07-04,1,3,Not Canceled
INNHG_128315,60,Online,0,115.2,1,1,2022-07-04,0,1,Not Canceled
INNHG_128316,100,Online,1,112.5,2,1,2022-07-04,1,0,Not Canceled
INNHG_128317,32,Online,0,67.0,1,1,2022-07-04,1,1,Not Canceled
INNHG_128318,80,Offline,0,82.45,2,2,2022-07-04,0,5,Not Canceled
INNHG_128319,101,Offline,0,102.25,2,1,2022-07-04,0,3,Not Canceled
INNHG_128320,63,Offline,0,72.25,2,1,2022-07-04,0,3,Not Canceled
INNHG_128321,0,Online,0,0.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128322,196,Online,3,81.81,2,3,2022-07-04,0,10,Not Canceled
INNHG_128323,131,Online,1,105.3,2,1,2022-07-04,0,2,Not Canceled
INNHG_128324,10,Online,1,65.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128325,134,Online,0,109.8,2,1,2022-07-04,1,1,Not Canceled
INNHG_128326,7,Online,2,160.33,2,1,2022-07-04,0,2,Not Canceled
INNHG_128327,179,Online,1,66.76,1,1,2022-07-04,0,4,Not Canceled
INNHG_128328,77,Online,2,159.3,3,1,2022-07-04,1,4,Not Canceled
INNHG_128329,131,Online,1,105.3,2,1,2022-07-04,0,2,Not Canceled
INNHG_128330,109,Online,0,97.75,2,1,2022-07-04,0,4,Not Canceled
INNHG_128331,15,Online,2,187.0,3,1,2022-07-04,1,1,Not Canceled
INNHG_128332,129,Online,1,76.3,2,2,2022-07-04,0,5,Not Canceled
INNHG_128333,87,Online,1,103.5,2,1,2022-07-04,0,4,Not Canceled
INNHG_128334,32,Online,1,65.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128335,3,Online,1,101.68,2,1,2022-07-04,0,1,Not Canceled
INNHG_128336,150,Offline,0,68.0,1,1,2022-07-04,0,4,Not Canceled
INNHG_128337,32,Online,1,65.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128338,46,Online,1,117.9,2,1,2022-07-04,0,2,Not Canceled
INNHG_128339,20,Online,0,84.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128340,142,Online,0,94.11,2,2,2022-07-04,0,5,Not Canceled
INNHG_128341,138,Online,1,91.48,2,1,2022-07-04,0,2,Not Canceled
INNHG_128342,10,Online,0,137.7,1,1,2022-07-04,0,1,Not Canceled
INNHG_128343,27,Online,1,151.0,2,1,2022-07-04,0,1,Not Canceled
INNHG_128344,68,Offline,0,107.95,2,1,2022-07-04,0,1,Not Canceled
INNHG_128345,25,Online,1,166.0,2,1,2022-07-04,0,3,Not Canceled
INNHG_128346,172,Online,1,79.03,2,1,2022-07-04,0,4,Not Canceled
INNHG_128347,145,Offline,1,112.0,2,1,2022-07-04,0,4,Not Canceled
INNHG_128348,78,Online,1,128.8,1,3,2022-07-04,0,6,Not Canceled
INNHG_128349,145,Offline,1,112.0,2,1,2022-07-04,0,4,Not Canceled
INNHG_128350,73,Online,2,150.3,3,1,2022-07-04,0,3,Not Canceled
INNHG_128351,119,Offline,0,82.45,2,3,2022-07-04,0,5,Not Canceled
INNHG_128352,10,Online,0,137.7,1,1,2022-07-04,0,1,Not Canceled
INNHG_128353,76,Online,2,99.73,2,1,2022-07-04,0,3,Not Canceled
INNHG_128354,81,Online,1,114.3,2,1,2022-07-04,0,4,Not Canceled
INNHG_128355,1,Online,1,139.0,2,1,2022-07-04,0,1,Not Canceled
INNHG_128356,139,Online,1,96.3,2,1,2022-07-04,0,0,Not Canceled
INNHG_128357,3,Online,0,79.0,1,1,2022-07-04,0,1,Not Canceled
INNHG_128358,142,Online,1,96.3,2,1,2022-07-04,0,0,Not Canceled
INNHG_128359,5,Offline,2,75.0,2,1,2022-07-04,0,2,Not Canceled
INNHG_128360,46,Online,1,117.9,2,1,2022-07-04,0,2,Not Canceled
INNHG_128361,1,Online,1,107.03,2,1,2022-07-04,0,2,Not Canceled
INNHG_128362,183,Online,1,98.25,2,1,2022-07-04,0,3,Canceled
INNHG_128363,168,Online,0,90.95,2,1,2022-07-04,0,3,Canceled
INNHG_128364,50,Online,0,260.9,2,1,2022-07-04,0,1,Canceled
INNHG_128365,193,Online,2,81.82,0,3,2022-07-04,0,10,Canceled
INNHG_128366,162,Online,0,168.3,2,1,2022-07-04,0,0,Canceled
INNHG_128367,168,Online,0,168.3,2,1,2022-07-04,0,2,Canceled
INNHG_128368,73,Online,0,150.3,3,1,2022-07-04,0,4,Canceled
INNHG_128369,174,Online,0,85.5,2,1,2022-07-04,0,2,Canceled
INNHG_128370,105,Online,0,123.25,2,1,2022-07-04,0,4,Canceled
INNHG_128371,153,Online,2,133.88,2,1,2022-07-04,0,3,Canceled
INNHG_128372,60,Online,0,132.7,1,1,2022-07-04,0,1,Canceled
INNHG_128373,188,Online,1,90.95,2,7,2022-07-04,0,17,Canceled
INNHG_128374,140,Online,0,116.45,2,1,2022-07-04,0,5,Canceled
INNHG_128375,138,Online,0,218.03,2,1,2022-07-04,0,3,Canceled
INNHG_128376,264,Online,1,95.4,2,1,2022-07-04,0,2,Canceled
INNHG_128377,143,Online,1,137.7,3,1,2022-07-04,0,2,Canceled
INNHG_128378,6,Online,0,163.67,2,1,2022-07-04,0,2,Canceled
INNHG_128379,149,Online,1,114.3,2,1,2022-07-04,0,1,Canceled
INNHG_128380,140,Online,1,116.45,2,1,2022-07-04,0,5,Canceled
INNHG_128381,139,Online,2,228.6,2,1,2022-07-04,0,2,Canceled
INNHG_128382,146,Online,0,116.45,2,1,2022-07-04,0,5,Canceled
INNHG_128383,98,Online,0,130.5,2,1,2022-07-04,0,5,Canceled
INNHG_128384,229,Online,0,116.95,2,1,2022-07-04,0,3,Canceled
INNHG_128385,78,Online,0,107.1,2,1,2022-07-04,0,2,Canceled
INNHG_128386,20,Online,0,139.0,2,1,2022-07-04,0,5,Canceled
INNHG_128387,38,Online,0,117.9,2,1,2022-07-04,0,0,Canceled
INNHG_128388,101,Online,0,114.3,2,2,2022-07-04,0,5,Canceled
INNHG_128389,52,Online,0,117.9,2,1,2022-07-04,0,1,Canceled
INNHG_128390,174,Online,0,85.5,2,1,2022-07-04,0,2,Canceled
INNHG_128391,121,Offline,1,96.9,3,0,2022-07-06,0,4,Not Canceled
INNHG_128392,109,Online,4,118.46,3,2,2022-07-06,0,4,Not Canceled
INNHG_128393,22,Online,1,139.0,2,0,2022-07-06,0,2,Not Canceled
INNHG_128394,141,Online,0,107.95,1,1,2022-07-06,0,4,Not Canceled
INNHG_128395,9,Online,1,139.0,2,0,2022-07-06,0,1,Not Canceled
INNHG_128396,103,Offline,0,78.2,2,1,2022-07-06,0,4,Not Canceled
INNHG_128397,104,Online,1,83.12,2,0,2022-07-06,0,4,Not Canceled
INNHG_128398,137,Online,0,107.95,2,0,2022-07-06,0,4,Not Canceled
INNHG_128399,1,Online,1,112.42,1,0,2022-07-06,0,1,Not Canceled
INNHG_128400,27,Online,2,139.0,1,0,2022-07-06,0,1,Not Canceled
INNHG_128401,4,Online,1,100.08,2,0,2022-07-06,0,1,Not Canceled
INNHG_128402,215,Online,1,99.45,2,3,2022-07-06,0,9,Not Canceled
INNHG_128403,12,Online,0,125.0,1,0,2022-07-06,0,1,Not Canceled
INNHG_128404,133,Online,2,120.7,2,0,2022-07-06,0,4,Not Canceled
INNHG_128405,40,Online,2,150.3,3,0,2022-07-06,0,1,Not Canceled
INNHG_128406,73,Online,1,90.78,2,0,2022-07-06,0,3,Not Canceled
INNHG_128407,20,Online,3,231.0,2,0,2022-07-06,0,1,Not Canceled
INNHG_128408,116,Online,1,116.95,2,0,2022-07-06,0,3,Not Canceled
INNHG_128409,79,Online,2,148.86,3,1,2022-07-06,0,4,Not Canceled
INNHG_128410,96,Online,0,103.5,2,0,2022-07-06,0,4,Not Canceled
INNHG_128411,165,Online,1,83.58,2,2,2022-07-06,0,4,Not Canceled
INNHG_128412,71,Offline,0,85.0,2,0,2022-07-06,0,3,Not Canceled
INNHG_128413,0,Online,1,139.0,2,0,2022-07-06,0,1,Not Canceled
INNHG_128414,14,Online,0,143.0,1,0,2022-07-06,0,1,Not Canceled
INNHG_128415,141,Online,1,107.95,2,1,2022-07-06,0,4,Not Canceled
INNHG_128416,112,Offline,0,72.25,2,2,2022-07-06,0,5,Not Canceled
INNHG_128417,96,Online,1,114.3,2,0,2022-07-06,0,3,Not Canceled
INNHG_128418,7,Online,0,106.0,1,0,2022-07-06,0,2,Not Canceled
INNHG_128419,4,Online,1,139.0,2,0,2022-07-06,0,2,Not Canceled
INNHG_128420,157,Online,1,97.75,2,0,2022-07-06,0,4,Not Canceled
INNHG_128421,15,Online,0,151.0,2,0,2022-07-06,0,3,Not Canceled
INNHG_128422,2,Offline,2,85.0,2,0,2022-07-06,0,3,Not Canceled
INNHG_128423,1,Online,0,189.5,3,0,2022-07-06,0,4,Not Canceled
INNHG_128424,167,Online,1,80.75,2,0,2022-07-06,0,4,Not Canceled
INNHG_128425,20,Online,1,231.0,2,0,2022-07-06,0,1,Not Canceled
INNHG_128426,179,Online,2,90.95,2,0,2022-07-06,0,4,Not Canceled
INNHG_128427,1,Online,0,168.5,2,0,2022-07-06,0,4,Not Canceled
INNHG_128428,136,Online,0,130.5,2,0,2022-07-06,0,1,Not Canceled
INNHG_128429,79,Online,2,146.96,3,2,2022-07-06,0,5,Not Canceled
INNHG_128430,116,Online,2,138.55,3,0,2022-07-06,0,4,Not Canceled
INNHG_128431,99,Online,1,103.5,2,0,2022-07-06,0,3,Not Canceled
INNHG_128432,0,Online,1,147.5,1,0,2022-07-06,0,4,Not Canceled
INNHG_128433,100,Online,2,98.83,3,1,2022-07-06,0,4,Not Canceled
INNHG_128434,137,Online,0,107.95,2,1,2022-07-06,0,4,Not Canceled
INNHG_128435,6,Online,1,67.0,1,0,2022-07-06,1,2,Not Canceled
INNHG_128436,130,Online,0,107.95,2,1,2022-07-06,0,4,Not Canceled
INNHG_128437,166,Online,1,90.95,2,0,2022-07-06,0,4,Not Canceled
INNHG_128438,108,Online,2,138.55,3,1,2022-07-06,0,4,Not Canceled
INNHG_128439,91,Online,0,114.3,2,0,2022-07-06,0,1,Not Canceled
INNHG_128440,201,Offline,0,72.08,2,0,2022-07-06,0,3,Not Canceled
INNHG_128441,141,Online,0,107.95,2,1,2022-07-06,0,4,Not Canceled
INNHG_128442,76,Offline,0,72.25,2,0,2022-07-06,0,4,Not Canceled
INNHG_128443,4,Online,1,151.0,2,0,2022-07-06,0,3,Not Canceled
INNHG_128444,98,Online,1,103.5,2,2,2022-07-06,0,4,Not Canceled
INNHG_128445,29,Online,0,105.0,1,0,2022-07-06,0,2,Not Canceled
INNHG_128446,159,Online,1,82.19,2,2,2022-07-06,0,5,Not Canceled
INNHG_128447,132,Offline,0,96.9,3,2,2022-07-06,0,5,Not Canceled
INNHG_128448,0,Online,0,145.67,2,0,2022-07-06,0,3,Not Canceled
INNHG_128449,178,Online,1,80.75,2,1,2022-07-06,0,4,Not Canceled
INNHG_128450,109,Online,4,105.21,2,2,2022-07-06,0,4,Not Canceled
INNHG_128451,1,Offline,0,106.4,1,0,2022-07-06,0,1,Not Canceled
INNHG_128452,12,Online,2,182.33,3,0,2022-07-07,0,3,Not Canceled
INNHG_128453,55,Online,0,79.0,1,0,2022-07-07,0,1,Not Canceled
INNHG_128454,184,Online,1,80.75,2,1,2022-07-07,0,3,Not Canceled
INNHG_128455,89,Online,1,183.73,2,2,2022-07-07,0,5,Not Canceled
INNHG_128456,105,Online,1,114.3,2,1,2022-07-07,0,3,Not Canceled
INNHG_128457,157,Offline,1,72.25,2,1,2022-07-07,0,3,Not Canceled
INNHG_128458,110,Online,2,138.55,3,1,2022-07-07,0,3,Not Canceled
INNHG_128459,55,Online,0,79.0,1,0,2022-07-07,0,1,Not Canceled
INNHG_128460,1,Online,0,94.0,2,0,2022-07-07,0,1,Not Canceled
INNHG_128461,112,Offline,1,72.25,2,2,2022-07-07,0,3,Not Canceled
INNHG_128462,114,Online,1,146.7,3,0,2022-07-07,0,3,Not Canceled
INNHG_128463,2,Online,1,160.0,2,1,2022-07-07,0,3,Not Canceled
INNHG_128464,166,Online,2,90.95,2,2,2022-07-07,0,3,Not Canceled
INNHG_128465,37,Online,3,216.9,2,0,2022-07-07,1,1,Not Canceled
INNHG_128466,10,Online,1,161.33,2,0,2022-07-07,0,3,Not Canceled
INNHG_128467,1,Online,0,110.71,2,0,2022-07-07,0,1,Not Canceled
