booking_id,lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,rebooked
INNHG_101070,31,Online,2,125.1,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101071,175,Online,1,152.15,2,2,2021-01-01,0,2,Canceled,No
INNHG_101072,24,Online,1,142.0,2,2,2021-01-01,1,0,Not Canceled,
INNHG_101073,18,Online,1,137.57,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101074,61,Online,1,149.4,2,2,2021-01-01,0,3,Not Canceled,
INNHG_101075,120,Online,1,94.81,2,2,2021-01-01,0,5,Not Canceled,
INNHG_101076,2,Online,1,175.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101077,16,Online,1,89.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101078,15,Online,1,109.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101079,12,Offline,1,85.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101080,231,Online,1,100.3,2,2,2021-01-01,0,2,Canceled,No
INNHG_101081,14,Online,3,98.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101082,28,Online,1,139.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101083,138,Offline,0,80.75,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101084,56,Online,0,125.1,2,2,2021-01-01,0,1,Canceled,No
INNHG_101085,7,Online,1,144.14,2,2,2021-01-01,0,2,Canceled,No
INNHG_101086,79,Online,0,168.3,3,2,2021-01-01,0,0,Canceled,No
INNHG_101087,25,Online,1,110.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101088,19,Online,0,87.2,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101089,9,Online,2,0.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101090,14,Online,1,118.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101091,17,Online,1,74.1,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101092,10,Online,0,149.0,1,2,2021-01-01,0,0,Canceled,No
INNHG_101093,62,Online,1,152.1,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101094,12,Offline,1,85.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101095,14,Online,2,149.67,2,2,2021-01-01,1,1,Not Canceled,
INNHG_101096,122,Offline,0,80.75,2,2,2021-01-01,0,4,Not Canceled,
INNHG_101097,36,Online,0,110.0,1,2,2021-01-01,0,3,Not Canceled,
INNHG_101098,231,Online,1,100.3,2,2,2021-01-01,0,2,Canceled,No
INNHG_101099,44,Online,0,152.1,2,2,2021-01-01,0,1,Canceled,No
INNHG_101100,23,Online,2,89.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101101,118,Offline,0,105.4,3,2,2021-01-01,0,1,Not Canceled,
INNHG_101102,3,Online,3,155.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101103,20,Online,0,89.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101104,175,Online,0,126.9,2,1,2021-01-01,0,0,Canceled,No
INNHG_101105,22,Online,1,89.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101106,8,Online,0,95.2,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101107,113,Online,1,129.6,2,2,2021-01-01,0,3,Not Canceled,
INNHG_101108,45,Online,2,162.79,2,2,2021-01-01,0,2,Not Canceled,
INNHG_101109,61,Online,1,149.4,2,2,2021-01-01,0,3,Not Canceled,
INNHG_101110,38,Online,1,207.9,2,2,2021-01-01,0,3,Canceled,Yes
INNHG_101111,4,Online,1,149.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101112,13,Online,1,99.0,2,1,2021-01-01,0,0,Canceled,No
INNHG_101113,18,Online,2,89.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101114,11,Offline,0,95.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101115,19,Online,1,65.1,2,2,2021-01-01,0,0,Canceled,No
INNHG_101116,307,Online,0,108.0,2,2,2021-01-01,0,4,Canceled,No
INNHG_101117,32,Online,0,149.4,2,2,2021-01-01,0,1,Canceled,No
INNHG_101118,11,Offline,0,95.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101119,24,Online,1,0.0,2,1,2021-01-01,0,0,Not Canceled,
INNHG_101120,31,Offline,0,85.5,2,2,2021-01-01,0,1,Canceled,No
INNHG_101121,208,Online,0,116.1,2,2,2021-01-01,0,1,Canceled,No
INNHG_101122,23,Online,2,89.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101123,12,Offline,1,85.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101124,71,Online,0,168.3,3,1,2021-01-01,0,0,Not Canceled,
INNHG_101125,53,Online,0,94.32,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101126,47,Online,1,125.1,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101127,69,Online,1,135.9,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101128,47,Online,1,168.3,3,2,2021-01-01,0,1,Not Canceled,
INNHG_101129,16,Offline,0,95.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101130,111,Online,2,118.8,2,2,2021-01-01,0,2,Canceled,No
INNHG_101131,10,Offline,0,95.0,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101132,20,Online,0,68.53,2,1,2021-01-01,0,0,Canceled,No
INNHG_101133,7,Online,1,139.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101134,51,Offline,0,85.5,2,2,2021-01-01,0,1,Not Canceled,
INNHG_101135,8,Online,0,129.0,1,1,2021-01-01,0,0,Not Canceled,
INNHG_101136,69,Online,0,135.9,2,2,2021-01-01,0,0,Canceled,Yes
INNHG_101137,17,Online,1,124.0,2,2,2021-01-01,0,0,Not Canceled,
INNHG_101138,11,Online,0,145.0,1,2,2021-01-05,0,6,Canceled,No
INNHG_101139,1,Online,1,104.72,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101140,145,Online,1,0.0,2,0,2021-01-05,0,0,Not Canceled,
INNHG_101141,21,Online,0,84.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101142,0,Online,1,135.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101143,205,Online,1,90.95,1,2,2021-01-05,0,8,Canceled,Yes
INNHG_101144,113,Online,1,92.94,2,1,2021-01-05,0,5,Not Canceled,
INNHG_101145,113,Online,0,92.94,2,1,2021-01-05,0,5,Not Canceled,
INNHG_101146,5,Online,1,149.0,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101147,176,Online,1,80.75,2,2,2021-01-05,0,6,Not Canceled,
INNHG_101148,132,Online,0,105.83,2,0,2021-01-05,0,4,Canceled,Yes
INNHG_101149,0,Online,1,110.46,2,0,2021-01-05,0,3,Not Canceled,
INNHG_101150,4,Online,1,0.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101151,135,Online,1,99.0,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101152,149,Online,0,122.04,2,2,2021-01-05,0,5,Not Canceled,
INNHG_101153,45,Offline,0,76.5,2,0,2021-01-05,0,1,Not Canceled,
INNHG_101154,144,Offline,0,63.75,2,0,2021-01-05,0,5,Not Canceled,
INNHG_101155,113,Online,2,92.94,2,1,2021-01-05,0,5,Not Canceled,
INNHG_101156,78,Online,0,130.2,1,1,2021-01-05,0,5,Canceled,No
INNHG_101157,88,Online,1,127.8,2,2,2021-01-05,0,5,Not Canceled,
INNHG_101158,141,Offline,0,82.45,2,2,2021-01-05,0,5,Not Canceled,
INNHG_101159,162,Online,1,99.45,2,0,2021-01-05,0,4,Not Canceled,
INNHG_101160,4,Online,1,151.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101161,6,Offline,0,114.4,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101162,135,Online,1,126.0,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101163,142,Online,2,119.0,2,0,2021-01-05,0,5,Not Canceled,
INNHG_101164,156,Online,1,114.83,2,0,2021-01-05,1,4,Canceled,Yes
INNHG_101165,185,Online,1,90.95,2,0,2021-01-05,0,4,Canceled,No
INNHG_101166,89,Online,0,114.3,2,0,2021-01-05,0,3,Canceled,Yes
INNHG_101167,0,Online,0,159.0,2,0,2021-01-05,0,1,Not Canceled,
INNHG_101168,132,Online,0,105.83,2,0,2021-01-05,0,4,Canceled,Yes
INNHG_101169,88,Offline,0,87.3,2,0,2021-01-05,0,4,Not Canceled,
INNHG_101170,47,Online,0,134.1,2,0,2021-01-05,0,1,Canceled,No
INNHG_101171,85,Offline,0,86.36,3,0,2021-01-05,0,3,Not Canceled,
INNHG_101172,21,Online,1,139.0,2,0,2021-01-05,0,5,Not Canceled,
INNHG_101173,141,Offline,1,82.45,2,2,2021-01-05,0,5,Not Canceled,
INNHG_101174,139,Offline,0,72.25,2,2,2021-01-05,0,5,Canceled,No
INNHG_101175,104,Online,3,146.7,3,0,2021-01-05,0,1,Not Canceled,
INNHG_101176,166,Online,0,80.75,2,0,2021-01-05,0,5,Canceled,Yes
INNHG_101177,125,Online,1,118.58,2,0,2021-01-05,0,4,Not Canceled,
INNHG_101178,85,Offline,0,86.36,2,0,2021-01-05,0,3,Not Canceled,
INNHG_101179,145,Online,1,0.0,2,0,2021-01-05,0,0,Not Canceled,
INNHG_101180,20,Online,1,160.0,2,0,2021-01-05,1,1,Not Canceled,
INNHG_101181,19,Online,0,187.0,3,0,2021-01-05,0,4,Not Canceled,
INNHG_101182,0,Online,1,135.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101183,189,Online,1,90.95,2,0,2021-01-05,0,4,Canceled,No
INNHG_101184,15,Online,1,151.0,2,0,2021-01-05,0,3,Not Canceled,
INNHG_101185,83,Online,0,127.8,2,0,2021-01-05,0,5,Canceled,No
INNHG_101186,169,Online,2,167.45,2,0,2021-01-05,0,4,Canceled,No
INNHG_101187,151,Online,1,137.13,3,1,2021-01-05,0,5,Canceled,Yes
INNHG_101188,4,Online,4,0.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101189,21,Online,1,139.0,2,0,2021-01-05,0,5,Not Canceled,
INNHG_101190,142,Online,1,136.85,3,0,2021-01-05,0,5,Not Canceled,
INNHG_101191,1,Online,1,99.33,1,0,2021-01-05,0,2,Not Canceled,
INNHG_101192,87,Online,1,166.85,3,0,2021-01-05,0,2,Not Canceled,
INNHG_101193,138,Offline,0,102.25,2,1,2021-01-05,0,5,Not Canceled,
INNHG_101194,19,Online,2,175.0,2,0,2021-01-05,1,4,Not Canceled,
INNHG_101195,22,Offline,0,85.0,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101196,77,Online,1,107.1,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101197,108,Online,2,123.25,2,1,2021-01-05,0,5,Canceled,No
INNHG_101198,0,Online,0,79.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101199,160,Offline,1,96.9,3,0,2021-01-05,0,1,Not Canceled,
INNHG_101200,45,Online,1,134.1,2,0,2021-01-05,0,1,Not Canceled,
INNHG_101201,23,Online,0,145.0,1,0,2021-01-05,0,2,Canceled,No
INNHG_101202,0,Online,1,135.0,1,0,2021-01-05,0,1,Not Canceled,
INNHG_101203,90,Online,1,130.5,2,0,2021-01-05,0,3,Not Canceled,
INNHG_101204,83,Online,1,123.3,2,0,2021-01-05,0,2,Not Canceled,
INNHG_101205,152,Online,0,119.28,2,1,2021-01-05,0,5,Canceled,No
INNHG_101206,90,Online,1,130.5,2,0,2021-01-05,0,3,Not Canceled,
INNHG_101207,153,Online,0,119.28,2,1,2021-01-05,0,5,Canceled,Yes
INNHG_101208,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101209,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101210,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101211,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101212,72,Online,0,107.1,2,0,2021-01-06,0,1,Canceled,No
INNHG_101213,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101214,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101215,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101216,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101217,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101218,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101219,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101220,245,Online,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101221,151,Online,1,120.7,2,0,2021-01-06,0,4,Canceled,No
INNHG_101222,159,Online,1,106.74,2,2,2021-01-06,0,5,Canceled,No
INNHG_101223,73,Online,0,107.1,1,0,2021-01-06,0,2,Canceled,No
INNHG_101224,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101225,73,Online,0,149.4,3,0,2021-01-06,0,4,Canceled,No
INNHG_101226,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101227,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101228,160,Online,0,97.75,2,0,2021-01-06,0,4,Canceled,No
INNHG_101229,135,Online,1,107.95,2,1,2021-01-06,0,4,Canceled,No
INNHG_101230,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101231,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101232,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101233,129,Online,0,112.5,2,0,2021-01-06,0,1,Canceled,No
INNHG_101234,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101235,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101236,27,Online,0,231.0,2,0,2021-01-06,0,2,Canceled,No
INNHG_101237,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101238,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101239,165,Online,0,108.04,2,2,2021-01-06,0,4,Canceled,No
INNHG_101240,133,Online,1,123.25,2,0,2021-01-06,0,4,Canceled,No
INNHG_101241,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101242,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101243,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101244,157,Online,2,120.7,2,0,2021-01-06,0,4,Canceled,No
INNHG_101245,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101246,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101247,144,Online,0,97.75,2,0,2021-01-06,0,4,Canceled,No
INNHG_101248,133,Online,0,120.7,2,0,2021-01-06,0,4,Canceled,No
INNHG_101249,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101250,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101251,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101252,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101253,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101254,151,Online,1,120.7,2,1,2021-01-06,0,4,Canceled,No
INNHG_101255,157,Online,0,107.95,2,0,2021-01-06,0,4,Canceled,No
INNHG_101256,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101257,162,Online,1,130.05,3,0,2021-01-06,0,4,Canceled,Yes
INNHG_101258,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101259,51,Online,0,107.1,2,0,2021-01-06,0,1,Canceled,No
INNHG_101260,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101261,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101262,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101263,79,Online,0,129.96,1,1,2021-01-06,0,4,Canceled,No
INNHG_101264,95,Online,0,127.8,2,0,2021-01-06,0,4,Canceled,No
INNHG_101265,164,Online,0,99.45,2,2,2021-01-06,0,4,Canceled,No
INNHG_101266,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101267,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101268,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101269,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101270,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101271,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101272,126,Online,0,97.75,2,0,2021-01-06,0,4,Canceled,No
INNHG_101273,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101274,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101275,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101276,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101277,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,Yes
INNHG_101278,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101279,245,Offline,0,110.0,1,2,2021-01-06,0,4,Canceled,No
INNHG_101280,94,Online,1,146.7,3,2,2021-01-08,0,2,Not Canceled,
INNHG_101281,9,Online,2,0.0,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101282,28,Online,2,143.45,2,2,2021-01-08,0,2,Not Canceled,
INNHG_101283,4,Online,1,139.0,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101284,0,Online,0,143.5,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101285,4,Online,3,306.0,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101286,102,Online,1,99.0,2,2,2021-01-08,0,6,Not Canceled,
INNHG_101287,106,Offline,2,72.25,2,2,2021-01-08,0,6,Not Canceled,
INNHG_101288,35,Online,0,135.9,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101289,39,Online,1,149.4,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101290,5,Online,0,160.0,2,1,2021-01-08,1,2,Not Canceled,
INNHG_101291,25,Offline,0,85.0,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101292,165,Online,1,99.45,2,2,2021-01-08,0,2,Not Canceled,
INNHG_101293,27,Online,1,151.0,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101294,22,Online,2,187.0,3,1,2021-01-08,0,2,Not Canceled,
INNHG_101295,14,Online,1,139.0,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101296,110,Online,1,114.3,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101297,140,Online,2,195.3,2,0,2021-01-08,1,1,Not Canceled,
INNHG_101298,110,Online,1,114.3,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101299,4,Online,0,106.0,1,0,2021-01-08,0,1,Not Canceled,
INNHG_101300,102,Offline,0,72.25,2,2,2021-01-08,0,2,Not Canceled,
INNHG_101301,110,Online,1,114.3,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101302,58,Offline,0,87.3,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101303,44,Online,0,75.0,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101304,1,Online,1,175.0,2,0,2021-01-08,1,1,Not Canceled,
INNHG_101305,15,Offline,2,118.15,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101306,2,Online,0,77.0,2,0,2021-01-08,1,1,Not Canceled,
INNHG_101307,128,Online,2,146.7,3,0,2021-01-08,0,2,Not Canceled,
INNHG_101308,0,Online,1,144.67,2,1,2021-01-08,1,2,Not Canceled,
INNHG_101309,118,Online,1,88.01,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101310,5,Online,2,139.0,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101311,146,Online,2,146.7,3,0,2021-01-08,0,1,Not Canceled,
INNHG_101312,80,Online,3,147.9,3,1,2021-01-08,0,2,Not Canceled,
INNHG_101313,32,Online,1,125.1,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101314,117,Online,1,116.05,2,2,2021-01-08,0,3,Not Canceled,
INNHG_101315,150,Offline,0,96.9,3,1,2021-01-08,0,2,Not Canceled,
INNHG_101316,106,Offline,2,72.25,2,2,2021-01-08,0,6,Not Canceled,
INNHG_101317,146,Online,2,127.8,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101318,106,Offline,2,72.25,2,2,2021-01-08,0,6,Not Canceled,
INNHG_101319,193,Offline,0,93.58,2,2,2021-01-08,0,2,Not Canceled,
INNHG_101320,75,Online,1,115.5,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101321,117,Online,2,136.85,3,2,2021-01-08,0,3,Not Canceled,
INNHG_101322,128,Online,2,96.05,2,2,2021-01-08,0,3,Not Canceled,
INNHG_101323,1,Online,2,184.5,3,2,2021-01-08,0,2,Not Canceled,
INNHG_101324,173,Online,2,94.5,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101325,155,Offline,0,72.25,2,2,2021-01-08,0,3,Not Canceled,
INNHG_101326,129,Online,2,114.3,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101327,126,Online,1,114.3,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101328,44,Online,0,75.0,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101329,65,Online,4,146.1,3,2,2021-01-08,0,4,Not Canceled,
INNHG_101330,0,Online,0,135.67,2,1,2021-01-08,0,2,Not Canceled,
INNHG_101331,185,Online,2,70.03,2,2,2021-01-08,0,2,Not Canceled,
INNHG_101332,30,Online,1,135.9,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101333,46,Online,2,112.5,1,0,2021-01-08,0,1,Not Canceled,
INNHG_101334,109,Online,4,131.8,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101335,126,Online,1,123.3,2,0,2021-01-08,1,1,Not Canceled,
INNHG_101336,6,Offline,0,75.0,1,1,2021-01-08,0,2,Not Canceled,
INNHG_101337,97,Offline,2,81.25,2,0,2021-01-08,0,2,Not Canceled,
INNHG_101338,146,Online,2,127.8,2,0,2021-01-08,0,1,Not Canceled,
INNHG_101339,52,Online,0,132.9,2,1,2021-01-08,0,2,Canceled,Yes
INNHG_101340,0,Online,0,265.0,2,2,2021-01-08,0,2,Canceled,No
INNHG_101341,115,Online,0,114.3,2,0,2021-01-08,0,2,Canceled,Yes
INNHG_101342,3,Online,0,139.0,2,0,2021-01-08,0,2,Canceled,No
INNHG_101343,42,Online,0,150.3,3,0,2021-01-08,0,1,Canceled,No
INNHG_101344,173,Online,2,168.3,2,0,2021-01-08,0,1,Canceled,No
INNHG_101345,18,Online,0,166.0,2,1,2021-01-08,0,2,Canceled,No
INNHG_101346,181,Online,1,85.5,2,0,2021-01-08,0,1,Canceled,No
INNHG_101347,52,Online,0,132.9,2,1,2021-01-08,0,2,Canceled,Yes
INNHG_101348,215,Online,0,96.3,2,1,2021-01-08,0,2,Canceled,No
INNHG_101349,13,Online,0,137.0,2,0,2021-01-08,0,1,Canceled,Yes
INNHG_101350,98,Online,0,144.9,2,2,2021-01-08,0,3,Canceled,No
INNHG_101351,173,Online,0,80.75,2,2,2021-01-08,0,5,Canceled,No
INNHG_101352,15,Online,1,145.0,1,1,2021-01-08,0,2,Canceled,No
INNHG_101353,173,Online,0,85.5,2,0,2021-01-08,0,2,Canceled,No
INNHG_101354,17,Online,1,166.0,2,0,2021-01-08,0,2,Canceled,No
INNHG_101355,103,Online,0,146.7,3,1,2021-01-08,0,2,Canceled,No
INNHG_101356,148,Online,1,136.8,2,0,2021-01-08,0,2,Canceled,No
INNHG_101357,143,Online,1,246.6,2,0,2021-01-08,0,2,Canceled,No
INNHG_101358,173,Online,2,177.3,2,0,2021-01-08,0,1,Canceled,Yes
INNHG_101359,1,Online,0,139.0,2,0,2021-01-08,0,1,Canceled,Yes
INNHG_101360,128,Online,0,130.5,2,0,2021-01-08,0,2,Canceled,Yes
INNHG_101361,30,Online,0,135.9,2,0,2021-01-08,0,1,Canceled,No
INNHG_101362,158,Online,2,114.3,2,0,2021-01-08,0,2,Canceled,No
