customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0027,1,Yes,No,33,Yes,No,Two year,Credit card,76.19,2514.27,No
CUST0028,0,Yes,Yes,20,Yes,DSL,Month-to-month,Bank transfer,48.86,977.20,Yes
CUST0029,0,No,Yes,60,No,DSL,Month-to-month,Bank transfer,35.84,2150.40,Yes
CUST0030,0,Yes,Yes,48,No,No,One year,Mailed check,80.69,3873.12,No
CUST0031,1,No,No,64,Yes,DSL,Two year,Bank transfer,24.70,1580.80,No
CUST0032,0,No,Yes,30,Yes,Fiber optic,Two year,Bank transfer,26.52,795.60,Yes
CUST0033,0,No,Yes,17,Yes,Fiber optic,Month-to-month,Electronic check,44.73,760.41,No
CUST0034,1,No,Yes,14,No,DSL,Month-to-month,Mailed check,39.43,552.02,No
CUST0035,0,No,No,19,No,No,Two year,Mailed check,57.41,1090.79,No
CUST0036,0,No,No,71,Yes,Fiber optic,Month-to-month,Bank transfer,57.13,4056.23,No
CUST0037,1,No,Yes,59,Yes,No,Two year,Mailed check,31.69,1869.71,No
CUST0038,0,Yes,Yes,67,Yes,No,Two year,Mailed check,44.65,2991.55,Yes
CUST0039,0,No,Yes,44,Yes,No,Month-to-month,Mailed check,20.46,900.24,Yes
CUST0040,0,Yes,No,32,Yes,Fiber optic,One year,Mailed check,55.10,1763.20,Yes
CUST0041,0,No,Yes,11,No,Fiber optic,Two year,Bank transfer,99.64,1096.04,No
CUST0042,0,No,No,2,Yes,DSL,Month-to-month,Electronic check,46.62,93.24,Yes
CUST0043,1,Yes,No,68,No,No,Month-to-month,Bank transfer,84.33,5734.44,Yes
CUST0044,1,Yes,No,17,No,Fiber optic,Month-to-month,Electronic check,29.83,507.11,No
CUST0045,1,No,Yes,40,No,Fiber optic,Two year,Mailed check,21.23,849.20,Yes
CUST0046,1,Yes,Yes,46,No,DSL,Two year,Credit card,69.84,3212.64,No
CUST0047,0,No,No,4,No,Fiber optic,Two year,Mailed check,66.15,264.60,Yes
CUST0048,0,No,No,38,No,Fiber optic,Month-to-month,Mailed check,39.15,1487.70,No
CUST0049,0,Yes,No,63,No,Fiber optic,One year,Credit card,48.66,3065.58,Yes
CUST0050,0,Yes,No,29,No,DSL,One year,Mailed check,23.07,669.03,Yes
CUST0051,0,Yes,Yes,19,Yes,DSL,Two year,Mailed check,99.78,1895.82,No
CUST0052,1,Yes,Yes,29,Yes,No,Two year,Credit card,50.13,1453.77,Yes
CUST0053,1,No,No,35,Yes,Fiber optic,Two year,Mailed check,41.95,1468.25,No
CUST0054,0,Yes,No,70,Yes,DSL,One year,Mailed check,100.47,7032.90,Yes
CUST0055,0,Yes,No,23,Yes,DSL,One year,Electronic check,23.93,550.39,Yes
CUST0056,0,Yes,Yes,46,No,DSL,Two year,Bank transfer,48.45,2228.70,Yes
CUST0057,1,Yes,No,44,No,No,Month-to-month,Mailed check,46.28,2036.32,No
CUST0058,0,Yes,Yes,48,No,No,One year,Mailed check,46.30,2222.40,Yes
CUST0059,0,No,No,52,No,No,Two year,Mailed check,21.15,1099.80,Yes
CUST0060,0,No,Yes,8,No,No,One year,Electronic check,113.47,907.76,Yes
CUST0061,1,Yes,Yes,55,Yes,No,Month-to-month,Mailed check,106.41,5852.55,Yes
CUST0062,0,Yes,No,66,Yes,Fiber optic,Month-to-month,Bank transfer,61.45,4055.70,Yes
CUST0063,1,No,Yes,40,No,Fiber optic,One year,Credit card,64.54,2581.60,No
CUST0064,1,Yes,Yes,31,Yes,DSL,Two year,Electronic check,72.42,2245.02,No
CUST0065,1,No,Yes,48,Yes,No,One year,Credit card,67.83,3255.84,Yes
CUST0066,1,No,Yes,61,Yes,No,Two year,Electronic check,97.91,5972.51,Yes
CUST0067,1,Yes,No,52,Yes,DSL,One year,Mailed check,68.84,3579.68,No
CUST0068,1,No,No,38,Yes,Fiber optic,Month-to-month,Electronic check,38.88,1477.44,No
CUST0069,0,Yes,No,36,No,No,One year,Mailed check,31.70,1141.20,Yes
CUST0070,0,Yes,No,55,Yes,No,Two year,Credit card,111.83,6150.65,Yes
CUST0071,0,No,No,13,Yes,No,Two year,Credit card,24.84,322.92,No
CUST0072,1,No,Yes,37,No,Fiber optic,Month-to-month,Bank transfer,109.76,4061.12,No
CUST0073,0,Yes,Yes,47,No,Fiber optic,Two year,Bank transfer,89.05,4185.35,No
CUST0074,1,No,Yes,71,No,No,Two year,Electronic check,60.47,4293.37,No
CUST0075,1,Yes,Yes,22,No,No,Month-to-month,Electronic check,38.72,851.84,No
CUST0076,1,No,No,39,No,DSL,Two year,Mailed check,51.05,1990.95,No
CUST0077,0,No,No,58,No,DSL,Two year,Credit card,72.99,4233.42,Yes
CUST0078,1,Yes,Yes,30,No,Fiber optic,One year,Credit card,85.69,2570.70,No
CUST0079,1,Yes,No,18,No,DSL,One year,Electronic check,89.15,1604.70,No
CUST0080,0,Yes,Yes,18,Yes,No,One year,Credit card,64.73,1165.14,No
CUST0081,0,No,Yes,39,No,Fiber optic,One year,Bank transfer,57.40,2238.60,Yes
CUST0082,1,Yes,No,26,No,DSL,One year,Electronic check,96.83,2517.58,Yes
CUST0083,1,Yes,No,71,Yes,Fiber optic,One year,Bank transfer,112.54,7990.34,Yes
CUST0084,0,No,No,7,No,No,One year,Mailed check,111.45,780.15,Yes
CUST0085,0,No,No,69,No,DSL,Month-to-month,Bank transfer,75.16,5186.04,No
CUST0086,0,Yes,No,65,No,DSL,One year,Electronic check,27.90,1813.50,Yes
CUST0087,1,Yes,No,46,No,DSL,Two year,Bank transfer,27.33,1257.18,No
CUST0088,0,Yes,No,18,Yes,No,Month-to-month,Bank transfer,60.28,1085.04,Yes
CUST0089,0,Yes,Yes,13,Yes,Fiber optic,One year,Electronic check,93.29,1212.77,No
CUST0090,0,No,No,25,No,DSL,One year,Mailed check,69.73,1743.25,Yes
CUST0091,1,No,Yes,8,Yes,Fiber optic,Two year,Bank transfer,82.74,661.92,Yes
CUST0092,0,Yes,Yes,32,Yes,Fiber optic,Month-to-month,Electronic check,104.33,3338.56,Yes
CUST0093,0,Yes,No,17,Yes,Fiber optic,Two year,Bank transfer,24.03,408.51,Yes
CUST0094,0,Yes,Yes,48,Yes,No,Two year,Bank transfer,112.38,5394.24,Yes
CUST0095,0,No,No,63,Yes,No,Month-to-month,Credit card,53.09,3344.67,Yes
CUST0096,0,Yes,Yes,40,Yes,DSL,Two year,Bank transfer,24.68,987.20,No
CUST0097,1,Yes,Yes,15,No,DSL,Month-to-month,Mailed check,103.54,1553.10,Yes
CUST0098,1,No,Yes,6,No,Fiber optic,Two year,Bank transfer,113.42,680.52,No
CUST0099,1,No,No,63,Yes,Fiber optic,Month-to-month,Electronic check,96.86,6102.18,Yes
CUST0100,0,Yes,Yes,8,Yes,Fiber optic,One year,Electronic check,100.45,803.60,No
CUST0101,1,Yes,Yes,32,Yes,No,Month-to-month,Credit card,107.13,3428.16,No
CUST0102,1,No,Yes,45,No,No,Two year,Credit card,72.24,3250.80,Yes
CUST0103,1,Yes,No,52,No,DSL,Two year,Bank transfer,88.05,4578.60,No
CUST0104,0,Yes,Yes,13,No,Fiber optic,One year,Credit card,48.65,632.45,No
CUST0105,0,No,No,24,No,Fiber optic,One year,Mailed check,44.97,1079.28,No
CUST0106,1,No,Yes,40,No,No,One year,Credit card,80.89,3235.60,No
CUST0107,1,No,Yes,14,No,DSL,Month-to-month,Electronic check,93.46,1308.44,Yes
CUST0108,0,Yes,Yes,70,Yes,Fiber optic,Month-to-month,Credit card,59.71,4179.70,No
CUST0109,0,No,No,62,No,Fiber optic,Month-to-month,Mailed check,60.03,3721.86,No
CUST0110,1,No,Yes,61,No,DSL,Month-to-month,Mailed check,115.42,7040.62,Yes
CUST0111,0,Yes,Yes,1,No,Fiber optic,Month-to-month,Credit card,71.85,71.85,No
CUST0112,1,Yes,Yes,66,Yes,No,Two year,Credit card,118.63,7829.58,Yes
CUST0113,0,No,Yes,32,No,DSL,Two year,Credit card,106.28,3400.96,Yes
CUST0114,1,No,No,13,Yes,Fiber optic,Two year,Electronic check,83.97,1091.61,Yes
CUST0115,1,Yes,Yes,33,Yes,Fiber optic,Month-to-month,Electronic check,20.91,690.03,Yes
CUST0116,0,Yes,Yes,32,No,No,One year,Mailed check,49.59,1586.88,Yes
CUST0117,1,No,Yes,56,No,No,Two year,Credit card,61.76,3458.56,No
CUST0118,1,No,Yes,24,No,No,Two year,Bank transfer,85.28,2046.72,No
CUST0119,1,Yes,No,4,Yes,Fiber optic,Month-to-month,Mailed check,59.55,238.20,No
CUST0120,0,No,Yes,23,No,Fiber optic,Month-to-month,Electronic check,102.78,2363.94,No
CUST0121,0,Yes,Yes,29,Yes,Fiber optic,Month-to-month,Mailed check,86.29,2502.41,Yes
CUST0122,0,No,No,21,Yes,DSL,Two year,Electronic check,54.72,1149.12,No
CUST0123,1,Yes,Yes,30,No,No,One year,Bank transfer,98.44,2953.20,No
CUST0124,0,Yes,Yes,20,No,DSL,Month-to-month,Credit card,50.31,1006.20,Yes
CUST0125,1,No,Yes,16,No,No,Month-to-month,Credit card,26.28,420.48,Yes
CUST0126,1,No,No,67,Yes,Fiber optic,One year,Credit card,37.26,2496.42,Yes
CUST0127,0,Yes,Yes,49,No,DSL,One year,Bank transfer,20.27,993.23,No
CUST0128,0,No,No,58,Yes,DSL,One year,Bank transfer,103.24,5987.92,Yes
CUST0129,1,No,No,44,No,No,Month-to-month,Bank transfer,82.71,3639.24,No
CUST0130,1,No,No,25,Yes,DSL,Month-to-month,Bank transfer,77.06,1926.50,No
CUST0131,0,Yes,No,23,No,DSL,Two year,Electronic check,86.20,1982.60,Yes
CUST0132,0,No,No,59,No,Fiber optic,Two year,Mailed check,85.36,5036.24,No
CUST0133,0,No,No,1,Yes,No,Two year,Bank transfer,76.55,76.55,No
CUST0134,1,Yes,No,15,Yes,DSL,Two year,Electronic check,104.24,1563.60,No
CUST0135,1,No,Yes,52,No,Fiber optic,Two year,Mailed check,64.09,3332.68,No
CUST0136,1,No,Yes,58,Yes,DSL,Two year,Mailed check,100.48,5827.84,No
CUST0137,1,Yes,No,41,Yes,Fiber optic,Month-to-month,Bank transfer,98.66,4045.06,Yes
CUST0138,1,Yes,No,44,Yes,DSL,Two year,Bank transfer,39.95,1757.80,No
CUST0139,0,No,No,4,Yes,Fiber optic,Month-to-month,Mailed check,65.38,261.52,No
CUST0140,0,No,No,68,No,Fiber optic,Month-to-month,Mailed check,103.49,7037.32,No
CUST0141,1,Yes,No,7,Yes,No,One year,Electronic check,103.09,721.63,Yes
CUST0142,1,Yes,No,46,No,Fiber optic,Month-to-month,Bank transfer,22.40,1030.40,No
CUST0143,0,No,Yes,9,No,DSL,Month-to-month,Mailed check,42.31,380.79,Yes
CUST0144,0,No,Yes,33,No,Fiber optic,Month-to-month,Mailed check,62.39,2058.87,Yes
CUST0145,0,No,No,33,Yes,Fiber optic,One year,Credit card,24.72,815.76,No
CUST0146,0,Yes,No,4,No,DSL,Month-to-month,Bank transfer,46.06,184.24,Yes
CUST0147,1,No,No,65,No,DSL,One year,Electronic check,45.83,2978.95,Yes
CUST0148,0,Yes,Yes,34,No,Fiber optic,Two year,Electronic check,41.46,1409.64,Yes
CUST0149,1,Yes,No,64,No,DSL,Month-to-month,Credit card,59.67,3818.88,Yes
CUST0150,0,Yes,Yes,25,No,Fiber optic,Two year,Bank transfer,101.30,2532.50,No
CUST0151,0,No,Yes,55,Yes,Fiber optic,Month-to-month,Electronic check,44.41,2442.55,Yes
CUST0152,0,No,Yes,9,No,Fiber optic,One year,Credit card,78.21,703.89,Yes
CUST0153,1,No,No,17,Yes,DSL,Two year,Electronic check,75.76,1287.92,No
CUST0154,1,Yes,No,21,No,No,Month-to-month,Electronic check,101.79,2137.59,Yes
CUST0155,0,No,Yes,60,No,No,Month-to-month,Credit card,59.40,3564.00,Yes
CUST0156,1,Yes,Yes,13,Yes,Fiber optic,One year,Mailed check,42.36,550.68,Yes
CUST0157,1,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Mailed check,109.15,327.45,Yes
CUST0158,0,Yes,Yes,68,No,DSL,Two year,Electronic check,103.29,7023.72,Yes
CUST0159,0,Yes,No,4,No,No,One year,Bank transfer,82.15,328.60,No
CUST0160,1,Yes,Yes,7,No,No,Two year,Bank transfer,29.32,205.24,No
CUST0161,1,Yes,No,26,No,No,Two year,Bank transfer,21.61,561.86,Yes
CUST0162,1,No,Yes,24,No,DSL,Month-to-month,Credit card,38.26,918.24,Yes
CUST0163,0,Yes,No,10,Yes,DSL,Month-to-month,Electronic check,39.66,396.60,No
CUST0164,0,No,Yes,13,No,DSL,One year,Credit card,33.62,437.06,No
CUST0165,1,Yes,No,44,No,Fiber optic,One year,Bank transfer,46.22,2033.68,Yes
CUST0166,0,No,No,39,Yes,DSL,One year,Credit card,53.79,2097.81,No
CUST0167,0,No,No,19,Yes,Fiber optic,Two year,Mailed check,95.44,1813.36,No
CUST0168,1,No,Yes,51,No,Fiber optic,Two year,Bank transfer,90.95,4638.45,No
CUST0169,1,No,No,19,Yes,Fiber optic,Two year,Bank transfer,30.44,578.36,Yes
CUST0170,0,Yes,Yes,52,Yes,Fiber optic,Two year,Mailed check,117.71,6120.92,Yes
CUST0171,0,Yes,No,47,Yes,DSL,Month-to-month,Mailed check,95.21,4474.87,Yes
CUST0172,1,Yes,No,30,No,DSL,One year,Electronic check,36.34,1090.20,No
CUST0173,0,Yes,Yes,46,No,No,Month-to-month,Credit card,32.45,1492.70,Yes
CUST0174,0,No,No,21,No,No,Month-to-month,Electronic check,28.75,603.75,No
CUST0175,1,No,No,48,Yes,Fiber optic,Two year,Electronic check,93.18,4472.64,Yes
CUST0176,1,No,Yes,62,No,No,One year,Electronic check,43.63,2705.06,Yes
CUST0177,0,Yes,No,58,No,No,Two year,Electronic check,27.30,1583.40,No
CUST0178,0,No,No,18,Yes,No,Two year,Mailed check,62.18,1119.24,Yes
CUST0179,0,Yes,No,59,No,Fiber optic,One year,Mailed check,90.87,5361.33,No
CUST0180,1,No,No,48,Yes,No,One year,Credit card,50.46,2422.08,Yes
CUST0181,0,No,Yes,63,Yes,DSL,Month-to-month,Credit card,68.26,4300.38,Yes
CUST0182,0,No,No,12,Yes,Fiber optic,Two year,Credit card,39.27,471.24,No
CUST0183,1,No,No,34,Yes,DSL,Two year,Mailed check,62.91,2138.94,No
CUST0184,1,No,No,61,No,Fiber optic,Two year,Bank transfer,55.89,3409.29,Yes
CUST0185,0,Yes,No,53,No,DSL,One year,Bank transfer,63.39,3359.67,No
CUST0186,1,No,No,25,No,No,Two year,Credit card,66.57,1664.25,Yes
CUST0187,1,Yes,No,62,Yes,Fiber optic,Two year,Bank transfer,29.23,1812.26,Yes
CUST0188,0,Yes,No,4,No,DSL,Two year,Electronic check,29.34,117.36,Yes
CUST0189,1,Yes,No,13,No,Fiber optic,Two year,Credit card,46.06,598.78,No
CUST0190,1,Yes,Yes,42,Yes,DSL,Month-to-month,Bank transfer,31.58,1326.36,No
CUST0191,0,Yes,Yes,49,Yes,No,One year,Electronic check,45.28,2218.72,Yes
CUST0192,1,Yes,Yes,56,No,Fiber optic,Month-to-month,Electronic check,22.45,1257.20,Yes
CUST0193,0,Yes,Yes,47,Yes,Fiber optic,One year,Electronic check,55.07,2588.29,No
CUST0194,0,Yes,No,8,No,DSL,Two year,Electronic check,41.34,330.72,Yes
CUST0195,1,No,No,55,Yes,DSL,One year,Bank transfer,109.21,6006.55,Yes
CUST0196,1,No,Yes,18,Yes,No,Month-to-month,Mailed check,105.82,1904.76,No
CUST0197,1,Yes,Yes,35,No,DSL,Two year,Electronic check,50.04,1751.40,Yes
CUST0198,0,Yes,Yes,32,Yes,DSL,Month-to-month,Credit card,67.55,2161.60,No
CUST0199,1,Yes,No,24,Yes,DSL,Month-to-month,Bank transfer,115.58,2773.92,No
CUST0200,0,No,No,7,Yes,No,Month-to-month,Electronic check,72.41,506.87,No
CUST0201,1,No,Yes,13,No,No,One year,Credit card,104.84,1362.92,Yes
CUST0202,1,Yes,Yes,69,No,Fiber optic,Month-to-month,Electronic check,102.64,7082.16,No
CUST0203,1,Yes,Yes,42,No,No,One year,Mailed check,114.13,4793.46,Yes
CUST0204,0,No,Yes,31,Yes,DSL,Month-to-month,Electronic check,50.57,1567.67,No
CUST0205,1,No,Yes,26,Yes,Fiber optic,Month-to-month,Mailed check,24.34,632.84,No
CUST0206,1,Yes,No,32,Yes,No,One year,Credit card,30.40,972.80,Yes
CUST0207,0,Yes,Yes,52,Yes,No,One year,Bank transfer,77.13,4010.76,No
CUST0208,0,Yes,No,20,No,DSL,Month-to-month,Electronic check,73.03,1460.60,No
CUST0209,1,Yes,Yes,40,No,DSL,Month-to-month,Mailed check,49.85,1994.00,No
CUST0210,1,No,Yes,59,Yes,No,Two year,Credit card,44.87,2647.33,Yes
CUST0211,1,No,No,14,No,Fiber optic,Month-to-month,Electronic check,90.94,1273.16,Yes
CUST0212,0,Yes,Yes,44,No,DSL,Month-to-month,Electronic check,54.05,2378.20,Yes
CUST0213,0,Yes,No,48,No,No,Two year,Electronic check,80.40,3859.20,No
CUST0214,0,Yes,No,43,Yes,No,Month-to-month,Mailed check,91.23,3922.89,No
CUST0215,0,No,Yes,16,No,DSL,Month-to-month,Bank transfer,63.05,1008.80,Yes
CUST0216,1,Yes,Yes,35,No,Fiber optic,One year,Credit card,39.34,1376.90,No
CUST0217,0,Yes,No,53,No,Fiber optic,One year,Mailed check,106.08,5622.24,No
CUST0218,0,Yes,No,34,No,Fiber optic,One year,Bank transfer,29.35,997.90,Yes
CUST0219,0,No,Yes,3,No,DSL,Month-to-month,Credit card,102.95,308.85,No
CUST0220,1,Yes,No,68,Yes,DSL,One year,Mailed check,103.67,7049.56,No
CUST0221,1,No,Yes,5,No,DSL,Month-to-month,Mailed check,77.10,385.50,Yes
CUST0222,0,Yes,No,10,No,Fiber optic,Two year,Bank transfer,82.95,829.50,No
CUST0223,0,Yes,Yes,52,Yes,Fiber optic,One year,Credit card,55.80,2901.60,No
CUST0224,1,Yes,No,29,No,DSL,Two year,Bank transfer,104.16,3020.64,No
CUST0225,1,No,No,31,Yes,DSL,Month-to-month,Bank transfer,46.37,1437.47,No
CUST0226,1,Yes,Yes,66,Yes,DSL,Month-to-month,Mailed check,75.98,5014.68,No
CUST0227,1,Yes,No,69,Yes,Fiber optic,Two year,Bank transfer,20.18,1392.42,No
CUST0228,1,No,No,37,Yes,No,Two year,Electronic check,113.98,4217.26,No
CUST0229,1,No,No,27,No,No,Two year,Electronic check,114.83,3100.41,No
CUST0230,1,No,No,33,No,Fiber optic,Two year,Electronic check,91.04,3004.32,No
CUST0231,1,Yes,No,68,Yes,DSL,One year,Electronic check,62.32,4237.76,No
CUST0232,0,No,No,59,No,DSL,Two year,Credit card,37.86,2233.74,No
CUST0233,0,Yes,No,64,Yes,DSL,One year,Bank transfer,69.25,4432.00,Yes
CUST0234,0,No,Yes,44,No,DSL,Two year,Bank transfer,99.14,4362.16,No
CUST0235,0,No,No,49,No,Fiber optic,Two year,Electronic check,80.53,3945.97,Yes
CUST0236,0,No,No,53,Yes,No,One year,Credit card,72.75,3855.75,No
CUST0237,0,Yes,Yes,49,No,No,Month-to-month,Bank transfer,104.94,5142.06,No
CUST0238,1,Yes,No,66,Yes,Fiber optic,Month-to-month,Electronic check,51.31,3386.46,No
CUST0239,1,Yes,No,63,No,DSL,Month-to-month,Mailed check,106.00,6678.00,Yes
CUST0240,0,Yes,Yes,25,No,No,Month-to-month,Bank transfer,63.95,1598.75,No
CUST0241,0,Yes,No,4,No,Fiber optic,One year,Mailed check,20.24,80.96,Yes
CUST0242,1,Yes,No,51,Yes,DSL,Month-to-month,Bank transfer,93.19,4752.69,No
CUST0243,1,Yes,Yes,11,Yes,No,One year,Bank transfer,107.78,1185.58,Yes
CUST0244,1,Yes,Yes,17,Yes,Fiber optic,One year,Bank transfer,68.44,1163.48,No
CUST0245,0,Yes,No,66,No,No,One year,Mailed check,65.47,4321.02,Yes
CUST0246,1,No,No,70,Yes,No,One year,Credit card,100.54,7037.80,Yes
CUST0247,0,No,Yes,69,Yes,Fiber optic,One year,Mailed check,108.48,7485.12,Yes
CUST0248,0,Yes,No,29,Yes,Fiber optic,Two year,Electronic check,117.44,3405.76,No
CUST0249,1,Yes,Yes,72,No,No,One year,Credit card,54.57,3929.04,No
CUST0250,1,Yes,Yes,20,No,No,Month-to-month,Mailed check,79.47,1589.40,Yes
CUST0251,0,Yes,Yes,27,No,Fiber optic,One year,Mailed check,102.29,2761.83,Yes
CUST0252,1,No,No,8,No,DSL,Month-to-month,Electronic check,73.19,585.52,Yes
CUST0253,1,No,Yes,61,Yes,DSL,One year,Mailed check,66.19,4037.59,Yes
CUST0254,0,Yes,Yes,28,No,DSL,Month-to-month,Credit card,77.19,2161.32,No
CUST0255,1,No,Yes,70,Yes,DSL,One year,Mailed check,55.69,3898.30,No
CUST0256,0,No,No,3,No,Fiber optic,Two year,Credit card,39.21,117.63,No
CUST0257,0,Yes,No,69,Yes,DSL,Month-to-month,Electronic check,26.66,1839.54,No
CUST0258,1,Yes,No,7,Yes,No,Month-to-month,Credit card,81.00,567.00,Yes
CUST0259,0,Yes,Yes,60,No,DSL,One year,Mailed check,57.91,3474.60,No
CUST0260,0,Yes,No,4,Yes,Fiber optic,Month-to-month,Electronic check,108.30,433.20,No
CUST0261,1,No,No,5,Yes,DSL,One year,Credit card,42.30,211.50,Yes
CUST0262,1,Yes,Yes,11,Yes,DSL,Two year,Credit card,51.07,561.77,Yes
CUST0263,1,No,Yes,15,Yes,Fiber optic,Two year,Bank transfer,117.05,1755.75,No
CUST0264,0,Yes,No,64,No,DSL,One year,Bank transfer,75.63,4840.32,Yes
CUST0265,0,No,No,13,No,Fiber optic,One year,Mailed check,54.68,710.84,No
CUST0266,1,Yes,Yes,7,Yes,DSL,Two year,Bank transfer,106.09,742.63,No
CUST0267,0,Yes,No,6,No,Fiber optic,Month-to-month,Mailed check,94.34,566.04,Yes
CUST0268,1,No,Yes,56,Yes,DSL,Month-to-month,Electronic check,77.31,4329.36,No
CUST0269,1,No,Yes,64,Yes,No,Month-to-month,Credit card,108.91,6970.24,Yes
CUST0270,0,No,No,50,No,No,Two year,Electronic check,29.40,1470.00,No
CUST0271,1,Yes,No,30,Yes,Fiber optic,One year,Electronic check,59.45,1783.50,Yes
CUST0272,0,No,No,22,No,Fiber optic,Two year,Bank transfer,101.06,2223.32,Yes
CUST0273,0,No,No,25,Yes,Fiber optic,Month-to-month,Credit card,58.59,1464.75,Yes
CUST0274,1,No,Yes,28,No,No,One year,Electronic check,112.67,3154.76,Yes
CUST0275,0,No,No,39,No,Fiber optic,One year,Credit card,35.25,1374.75,Yes
CUST0276,1,No,No,67,Yes,DSL,Month-to-month,Credit card,53.66,3595.22,Yes
CUST0277,0,No,No,5,No,Fiber optic,One year,Electronic check,62.57,312.85,No
CUST0278,0,No,Yes,65,Yes,Fiber optic,Month-to-month,Credit card,88.70,5765.50,Yes
CUST0279,0,No,No,15,No,DSL,Two year,Mailed check,39.53,592.95,No
CUST0280,1,No,No,67,Yes,DSL,One year,Credit card,20.99,1406.33,Yes
CUST0281,0,Yes,Yes,40,No,No,Month-to-month,Mailed check,117.65,4706.00,Yes
CUST0282,1,Yes,Yes,69,No,DSL,Month-to-month,Mailed check,109.88,7581.72,Yes
CUST0283,0,No,Yes,43,No,DSL,Two year,Mailed check,50.02,2150.86,No
CUST0284,0,Yes,Yes,1,Yes,Fiber optic,One year,Electronic check,68.35,68.35,Yes
CUST0285,1,Yes,Yes,22,No,No,One year,Mailed check,68.89,1515.58,No
CUST0286,1,No,No,62,Yes,DSL,One year,Credit card,106.92,6629.04,No
CUST0287,1,No,Yes,26,No,No,One year,Bank transfer,79.71,2072.46,Yes
CUST0288,1,No,Yes,18,No,DSL,Two year,Bank transfer,102.64,1847.52,Yes
CUST0289,1,No,Yes,48,Yes,No,Two year,Bank transfer,111.20,5337.60,No
CUST0290,0,No,Yes,9,No,DSL,One year,Mailed check,76.60,689.40,Yes
CUST0291,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Electronic check,48.55,48.55,No
CUST0292,1,Yes,Yes,9,Yes,No,One year,Mailed check,69.87,628.83,Yes
CUST0293,0,No,Yes,23,Yes,No,One year,Bank transfer,105.09,2417.07,No
CUST0294,0,Yes,Yes,45,Yes,DSL,Month-to-month,Credit card,78.36,3526.20,No
CUST0295,0,No,No,2,Yes,No,One year,Mailed check,109.57,219.14,No
CUST0296,1,No,No,14,No,DSL,Month-to-month,Bank transfer,109.54,1533.56,Yes
CUST0297,0,Yes,No,38,Yes,No,Two year,Credit card,57.34,2178.92,No
CUST0298,0,No,Yes,40,No,No,Month-to-month,Electronic check,64.81,2592.40,No
CUST0299,0,No,Yes,63,Yes,Fiber optic,Two year,Credit card,87.79,5530.77,No
CUST0300,1,Yes,Yes,16,Yes,Fiber optic,One year,Electronic check,31.11,497.76,Yes
CUST0301,0,No,No,6,No,No,Month-to-month,Credit card,66.56,399.36,Yes
